#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B2DDFB
#Date Time: 2026-06-03 23:34:47.565
#Sample rate: 500000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: 0 V Sample Mode: Average
#Channel 2: Range: 500 mV/div Offset: 0 V Sample Mode: Average
#Wavegen Channel 1: Enabled
#Mode: Custom
#Type: ad2_i_waveform.csv
#Frequency: 390.625 Hz
#Period: 2.56 ms
#Amplitude: 1 V
#Offset: 0 V
#Phase: 0 °
#Wavegen Channel 2: Enabled
#Mode: Custom
#Type: ad2_q_waveform.csv
#Frequency: 390.625 Hz
#Period: 2.56 ms
#Amplitude: 1 V
#Offset: 0 V
#Phase: 0 °

Time (s),Channel 1 (V),Channel 2 (V)
-0.008190102888086642,-0.02004626775143281,0.2524598141187696
-0.008188102888086642,0.1629657518285038,0.2330443787459765
-0.008186102888086643,0.3086975451975272,0.252125065233023
-0.008184102888086643,0.386308197945318,-0.0943400315056015
-0.008182102888086643,0.1578820846178855,0.4633516121336857
-0.008180102888086642,-0.0827448300149069,-0.2453117789735799
-0.008178102888086642,0.1971957777128206,0.02215258073105177
-0.008176102888086642,-0.027841224141097,-0.09969601367738512
-0.008174102888086641,-0.3603130597110259,0.2989899092362907
-0.008172102888086643,-0.3216771889108663,0.176471817056308
-0.008170102888086643,-0.1603554827626667,0.3167316001804583
-0.008168102888086642,-0.3684469272479266,0.2153026878018559
-0.008166102888086642,-0.4121664652586734,-0.04546669418801656
-0.008164102888086642,-0.01936844545669255,-0.2479897700594836
-0.008162102888086642,-0.07122185100441696,-0.1137554668784441
-0.008160102888086643,-0.2789743843421178,0.1429969284823394
-0.008158102888086643,-0.282024584668542,-0.2094936481994577
-0.008156102888086643,-0.1223974342572121,-0.04747518750244434
-0.008154102888086642,-0.1024016765623744,0.3331342955816184
-0.008152102888086642,-0.1010460319728939,0.6230268306306936
-0.008150102888086642,0.06061458532274323,0.3910458528141356
-0.008148102888086642,0.2476935386708853,0.06031395370513514
-0.008146102888086643,0.0612924076174832,-0.0370979720445232
-0.008144102888086643,-0.2481334699313897,0.05094098490447646
-0.008142102888086642,-0.1186694116361407,-0.2061461593422383
-0.008140102888086642,0.2019405337760024,0.5574160490260531
-0.008138102888086642,-0.2240707784682512,0.3629269464122972
-0.008136102888086642,0.08976094399639967,-0.262718721031932
-0.008134102888086641,-0.1074853437730052,-0.2145148814856504
-0.008132102888086643,-0.2806689400789841,-0.1331709022513996
-0.008130102888086643,-0.1274811014677641,0.1500266550829533
-0.008128102888086642,0.03248496009093736,0.5386701114247272
-0.008126102888086642,0.02604564829090489,0.1145432731947293
-0.008124102888086642,-0.05698758281481646,-0.3189565338355649
-0.008122102888086642,-0.1437488365415258,0.4874535319068979
-0.008120102888086643,-0.133920413267801,0.6611882036047423
-0.008118102888086643,0.2893796097973035,0.3532192287260362
-0.008116102888086642,0.2290534255656128,0.01947458964514807
-0.008114102888086642,0.1975346888601907,0.6524847325756343
-0.008112102888086642,-0.4599529370378618,-0.2975326051487019
-0.008110102888086642,-0.1383262581836984,0.189861772485871
-0.008108102888086641,-0.3365892793949411,0.4104612881867186
-0.008106102888086643,0.08840529940681552,-0.401304759727101
-0.008104102888086643,0.1368695934809374,0.1289374752814617
-0.008102102888086642,-0.4209781550902968,-0.1609550597676135
-0.008100102888086642,0.0284180263224958,0.0924498467360238
-0.008098102888086642,-0.1044351434465952,0.3033416447509398
-0.008096102888086642,-0.2586397154998439,0.5430218469393733
-0.008094102888086643,0.09450570005951059,0.6585102125188651
-0.008092102888086643,0.1317859262703685,0.2156374366877952
-0.008090102888086642,0.5618641722830807,0.1232467442239163
-0.008088102888086642,0.4771363854405481,0.179149808142156
-0.008086102888086642,0.2080409344286648,0.2327096298602299
-0.008084102888086642,0.4866258975669645,-0.1328361533653668
-0.008082102888086641,0.60253350996738,0.434228459074378
-0.008080102888086643,0.3466555937031643,0.2032517279153943
-0.008078102888086643,-0.2064473988050044,0.3331342955816184
-0.008076102888086642,-0.5097728757012709,0.001063400929560159
-0.008074102888086642,-0.1769621289838031,0.06232244701960721
-0.008072102888086642,-0.1400208139204589,0.4094570415298738
-0.008070102888086642,-0.3677691049529462,0.3595794575548333
-0.008068102888086643,0.1602544626492363,0.1744633237419087
-0.008066102888086643,0.4849313418299135,0.4017578171577973
-0.008064102888086642,0.1924510216496388,0.7197692586089647
-0.008062102888086642,-0.01360695595140034,-0.07224660504705352
-0.008060102888086642,-0.02174082348828347,-0.3192912827216695
-0.008058102888086642,-0.003778532677560224,0.02750856290269947
-0.008056102888086641,0.2300701590078676,-0.323643018235974
-0.008054102888086643,0.5476299040933909,0.3120451157798377
-0.008052102888086643,0.3364882592819441,-0.2777824208901623
-0.008050102888086642,0.294463277008048,0.1881880280570809
-0.008048102888086642,-0.1708617283311407,0.4472836656182636
-0.008046102888086642,-0.1430710142467901,0.2839262093781381
-0.008044102888086642,0.338182815018632,0.3565667175831481
-0.008042102888086643,-0.01970735660389994,0.07571240244925342
-0.008040102888086643,-0.03699182511993147,0.1038313088511017
-0.008038102888086643,-0.1966189755312706,0.09345409339323768
-0.008036102888086642,-0.07562769592013416,0.2384003609177753
-0.008034102888086642,0.2097354901655154,-0.05919139850327301
-0.008032102888086642,0.2585386953867663,-0.1261411756508351
