#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B2DDFB
#Date Time: 2026-06-10 20:10:42.258
#Sample rate: 500000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: 0 V Sample Mode: Average
#Channel 2: Range: 500 mV/div Offset: 0 V Sample Mode: Average
#Wavegen Channel 1: Enabled
#Mode: Custom
#Type: ad2_q_waveform.csv
#Frequency: 367.6470588 Hz
#Period: 2.72 ms
#Amplitude: 1 V
#Offset: 0 V
#Phase: 0 °
#Wavegen Channel 2: Enabled
#Mode: Custom
#Type: ad2_q_waveform.csv
#Frequency: 367.6470588 Hz
#Period: 2.72 ms
#Amplitude: 1 V
#Offset: 0 V
#Phase: 0 °

Time (s),Channel 1 (V),Channel 2 (V)
-0.008191687576875769,-0.1756064843943226,-0.2074851548851902
-0.008189687576875769,-0.1400208139205668,-0.4829834878474879
-0.00818768757687577,-0.3772586170794421,-0.3838978176691412
-0.00818568757687577,-0.4267396445955665,-0.1020392558778603
-0.00818368757687577,-0.1108744552466277,-0.06655587398950817
-0.008181687576875769,0.2375262042498661,0.1108610354516117
-0.008179687576875769,0.1975346888601907,0.2250104054882568
-0.008177687576875769,0.06095349646997913,0.1644208571696658
-0.008175687576875769,-0.04715915954095569,0.1209035020237531
-0.00817368757687577,0.1453423721651032,0.1265942330812933
-0.00817168757687577,-0.1190083227835108,-0.09601377593444883
-0.00816968757687577,-0.02479102381461464,0.07136066693453219
-0.008167687576875769,-0.2498280256683811,0.2183154277734975
-0.008165687576875769,-0.16882826144692,-0.1830484862263189
-0.008163687576875769,-0.1484935926047479,-0.1207851934790767
-0.00816168757687577,-0.2271209787945466,-0.1619593064248087
-0.00815968757687577,0.01825069190128031,-0.1355141444515404
-0.00815768757687577,0.1439867275757102,-0.1355141444515283
-0.008155687576875769,-0.06071560543584843,-0.2633882188034299
-0.008153687576875769,-0.2328824682998746,-0.03776746981604344
-0.008151687576875769,0.1588988180599051,0.284595707149546
-0.008149687576875769,-0.04071984774107225,0.1349629552246165
-0.00814768757687577,-0.1759453955416312,-0.1475651043379665
-0.00814568757687577,0.2375262042496781,-0.2459812767450111
-0.00814368757687577,0.1107734351334374,-0.1181072023931543
-0.008141687576875769,-0.3867481292059137,-0.03441998095866382
-0.008139687576875769,-0.2033971984786732,0.06633943364846276
-0.008137687576875769,0.1060286790702351,-0.03274623652998634
-0.008135687576875768,0.06095349647005033,-0.05986089627465638
-0.00813368757687577,0.1094177905439349,0.1436664262538394
-0.00813168757687577,-0.2128867106050369,0.2253451543739947
-0.008129687576875769,-0.4402960904903942,0.1901965213715087
-0.008127687576875769,-0.05393738248844583,-0.1940951994556717
-0.008125687576875769,-0.03563618053067303,-0.472271523503866
-0.008123687576875769,-0.5067226753748839,-0.3574526556956334
-0.00812168757687577,-0.3840368400270084,0.002737145358086168
-0.00811968757687577,-0.2959199417107589,0.2360571187175034
-0.00811768757687577,-0.3657356380689656,-0.3085793183780547
-0.008115687576875769,0.0138448469855802,-0.3454016958092305
-0.008113687576875769,0.2592165176815545,-0.1937604505699337
-0.008111687576875769,0.0396020941856788,-0.210163145971191
-0.008109687576875768,-0.02919686873040136,-0.4237329350717853
-0.00810768757687577,0.02570673714350979,-0.14153962439494
-0.00810568757687577,-0.08918414181493937,0.3625921975265591
-0.008103687576875769,-0.1993302647102317,-0.121119942364796
-0.008101687576875769,-0.0973180093518225,-0.0866408071337859
-0.008099687576875769,0.1260244367650933,-0.3032233362062473
-0.008097687576875769,0.2581997842391884,-0.1197809468218642
-0.00809568757687577,-0.3040538092473462,-0.163967799739235
-0.00809368757687577,-0.4968942521011183,-0.1120817224498946
-0.00809168757687577,-0.3206604554687383,-0.02605125881521476
-0.008089687576875769,-0.0288579575830562,-0.09266628707706921
-0.008087687576875769,-0.1240919899940628,-0.1847222306550088
-0.008085687576875769,-0.05258173789899459,-0.1689890330252673
-0.008083687576875768,-0.116974855899258,-0.0431234519878863
-0.00808168757687577,-0.04648133724633502,-0.1211199423647605
-0.00807968757687577,-0.2867693407317253,-0.07492459613295722
-0.008077687576875769,-0.3874259515006539,-0.02437751438652495
-0.008075687576875769,0.01858960304876203,-0.04981842970261007
-0.008073687576875769,0.02299544796457371,-0.2168581236858531
-0.008071687576875769,-0.2538949594368232,-0.0869755560194348
-0.00806968757687577,-0.2552506040263026,0.1088525421370949
-0.00806768757687577,-0.05292064904642743,-0.113085969106984
-0.00806568757687577,0.114840368901879,0.1001490711079969
-0.008063687576875769,-0.02818013528831594,-0.02672075658669069
-0.008061687576875769,-0.4036936865744202,-0.02672075658669069
-0.008059687576875769,-0.2064473988049241,0.147013915111165
-0.008057687576875769,-0.02987469102513777,-0.1753492618544706
-0.00805568757687577,0.03350169353301893,-0.4498433481593498
-0.00805368757687577,0.02977367091197632,-0.2392862990302966
-0.008051687576875769,0.07857687613327506,-0.2687442009752372
-0.008049687576875769,0.05620874040684647,-0.4053217463563258
-0.008047687576875769,0.05824220729106726,-0.4408051282445498
-0.008045687576875769,0.05180289549102677,-0.2352693124013555
-0.00804368757687577,0.03417951582779603,-0.04714043861679193
-0.00804168757687577,0.08264380990169458,-0.2312523257725018
-0.00803968757687577,0.1090788793965868,-0.1023740047634701
-0.008037687576875769,0.2548106727657428,-0.0006103434991296508
-0.008035687576875769,-0.01191240021454969,0.02081358518809992
-0.008033687576875769,-0.2298322679735509,0.08207263127806126
-0.008031687576875769,-0.2464389141946516,-0.1063909913923628
-0.00802968757687577,-0.1844181742259741,-0.1880697195123512
-0.00802768757687577,0.01858960304876203,-0.08931879821968959
-0.008025687576875769,0.328354391745061,0.1118652821088256
-0.008023687576875769,0.2785344530816519,-0.289163883005253
-0.008021687576875769,0.1853338875548661,-0.4096734818709192
-0.008019687576875769,0.09111658858606173,-0.1445523643664013
-0.00801768757687577,0.2931076324184756,-0.03006824544412236
-0.00801568757687577,-0.004117443824901534,-0.006970572328161433
-0.00801368757687577,-0.3948819967427968,0.04357650941828134
-0.008011687576875769,0.05688656270158673,0.02750856290285916
-0.008009687576875769,0.06468151909109972,0.008093127530057363
-0.008007687576875769,0.09145549973330795,-0.05182692301696995
-0.008005687576875769,0.02096198108014241,0.09747108002209019
-0.00800368757687577,-0.4419906462270343,0.09077610230733703
-0.00800168757687577,-0.397932197069128,-0.3772028399543369
-0.007999687576875769,0.01452266928032046,-0.2198708636574948
-0.007997687576875769,-0.2837191404053941,-0.03843696758751936
-0.007995687576875769,-0.6239859323650048,0.05261472933320632
-0.007993687576875769,-0.3071040095739485,0.2785702272061308
-0.00799168757687577,-0.3409951243109307,-0.1609550597674136
-0.00798968757687577,-0.3328612567740667,-0.03709797204462384
-0.00798768757687577,-0.0783389850990952,0.2394046075749891
-0.007985687576875769,-0.03360271364623801,0.08876760899290621
-0.007983687576875769,-0.03360271364623801,0.02047883630236196
-0.007981687576875769,-0.03563618053045865,-0.004962079013768673
-0.007979687576875769,-0.0352972693830882,-0.1050519958493294
-0.00797768757687577,-0.03428053594097875,-0.007305321213933347
-0.00797568757687577,-0.03461944708834841,0.2902864382071594
-0.00797368757687577,-0.03495835823571854,0.08408112459257475
-0.007971687576875769,-0.03428053594097828,0.0633266936768211
-0.007969687576875769,-0.03461944708834841,0.08977185565012009
-0.007967687576875769,-0.03495835823571854,-0.1783620018259653
-0.00796568757687577,-0.03495835823571854,-0.1294886645082673
-0.00796368757687577,-0.03428053594097859,-0.08496706270511634
-0.00796168757687577,-0.03495835823571854,-0.1867307239694365
-0.007959687576875769,-0.03461944708834841,-0.1572728220244959
-0.007957687576875769,-0.03428053594097828,-0.1261411756508654
-0.007955687576875769,0.322592902239821,-0.2951893629483469
-0.007953687576875769,0.4374837811980269,0.1212382509094267
-0.00795168757687577,-0.03733073626709354,-0.01466979670006224
-0.00794968757687577,-0.03631400282519952,-0.2841426497190609
-0.00794768757687577,-0.03495835823571854,-0.315274296092814
-0.007945687576875769,-0.03529726938308866,-0.08797980267673775
-0.007943687576875769,-0.03597509167782893,0.07002167139158035
-0.007941687576875769,-0.03529726938308851,-0.2466507745164386
-0.007939687576875768,-0.03495835823571838,-0.04178445644482531
-0.00793768757687577,-0.03461944708834856,0.120234004252201
-0.00793568757687577,-0.03529726938308866,-0.01199180561422036
-0.007933687576875769,-0.03495835823571854,-0.05919139850327301
-0.007931687576875769,-0.03529726938308866,0.1466791662255736
-0.007929687576875769,-0.03529726938308866,-0.08195432273345442
-0.007927687576875769,-0.03461944708834887,-0.4926912055338183
-0.00792568757687577,-0.03563618053045834,-0.2386168012589362
-0.00792368757687577,-0.03631400282519875,-0.2817994075189981
-0.00792168757687577,-0.03495835823571854,-0.3845673154405721
-0.007919687576875769,-0.03563618053045881,-0.4541950836740682
-0.007917687576875769,-0.03529726938308866,-0.2888291341195149
-0.007915687576875769,-0.03461944708834826,-0.08262382050499839
-0.007913687576875768,-0.0342805359409789,-0.2322565724297578
-0.00791168757687577,-0.03563618053045819,-0.1408701266233773
-0.00790968757687577,-0.03631400282519906,0.0827421290496229
-0.007907687576875769,-0.03563618053045881,-0.04914893193113415
-0.007905687576875769,-0.03495835823571854,-0.2248920969435642
-0.007903687576875769,-0.03461944708834841,0.0003939031580842354
-0.007901687576875769,-0.03394162479360877,0.03453828950316136
-0.00789968757687577,-0.03529726938308805,-0.394275033126778
-0.00789768757687577,-0.03428053594097875,-0.3246472648935086
-0.00789568757687577,-0.03461944708834841,-0.1351793955657904
-0.007893687576875769,-0.03529726938308866,-0.003957832356509271
-0.007891687576875769,0.531362169019769,0.2708710028343576
-0.007889687576875769,0.505266010672022,-0.02069527664359568
-0.007887687576875769,-0.03766964741467912,-0.4347796483012284
-0.00788568757687577,-0.03665291397256965,-0.3514271757525517
-0.00788368757687577,-0.03563618053045881,-0.2834731519477076
-0.007881687576875769,-0.03529726938308866,0.2916254337501112
-0.007879687576875769,-0.03428053594097828,0.346858999896875
-0.007877687576875769,-0.03428053594097828,0.178815059256418
-0.007875687576875769,-0.03563618053045865,0.1125347798804203
-0.00787368757687577,-0.03529726938308882,0.3736389107557932
-0.00787168757687577,-0.03563618053045865,0.232709629860294
-0.00786968757687577,-0.03495835823571854,-0.1197809468218441
-0.007867687576875769,-0.03495835823571854,-0.01701303890028979
-0.007865687576875769,-0.03529726938308866,-0.2111673926283078
-0.007863687576875769,-0.03495835823571884,0.01847034298794423
-0.007861687576875769,-0.0356361805304585,0.04056376944659233
-0.00785968757687577,-0.03495835823571884,-0.06354313401781916
-0.00785768757687577,-0.03428053594097828,0.02650431624564527
-0.007855687576875769,-0.03597509167782893,0.03721628058926006
-0.007853687576875769,-0.03529726938308866,-0.09032304487690347
-0.007851687576875769,-0.03495835823571854,-0.1927562039127199
-0.007849687576875769,-0.03529726938308851,0.1788150592564066
-0.00784768757687577,-0.03495835823571869,0.1537088928260822
-0.00784568757687577,-0.03428053594097859,0.05562746930489257
-0.00784368757687577,-0.03461944708834841,-0.01232655449995832
-0.007841687576875769,-0.03461944708834841,-0.1696585307968005
-0.007839687576875769,-0.03495835823571854,-0.03743272093030547
-0.007837687576875769,-0.03563618053045865,-0.3346897314656978
-0.007835687576875769,-0.03529726938308851,-0.5151193808782796
-0.00783368757687577,-0.03495835823571869,-0.3002105962347034
-0.00783168757687577,-0.03461944708834841,-0.3176175382929797
-0.007829687576875769,-0.03428053594097828,-0.4662460435606348
-0.007827687576875769,0.1111123462808076,-0.2479897700594836
-0.007825687576875769,0.02977367091197632,0.1416579329395042
-0.007823687576875769,-0.1451044811309766,-0.07057286061837956
-0.00782168757687577,-0.06986620641487616,-0.1053867447350959
-0.00781968757687577,0.1775389311652406,0.03922477390362207
-0.00781768757687577,-0.2091586879839654,0.1011533177652108
-0.007815687576875769,-0.1583220158784459,-0.06053039404622485
-0.007813687576875769,0.1294135482387946,0.1225772464524404
-0.007811687576875769,-0.106468610330816,0.04290701164680542
-0.007809687576875769,-0.09020087525704976,-0.4749495145898218
-0.007807687576875768,0.03451842697515814,-0.1977774371987893
-0.007805687576875768,-0.1773010401311732,0.2601590384907427
-0.007803687576875769,-0.2738907171316603,0.03989427167516375
-0.007801687576875768,-0.3420118577530565,-0.1499083465382607
-0.007799687576875768,-0.4379237124588033,-0.2486592678309595
