sample_index,time_seconds,real,imag
0,0.0,-0.038321344924208314,0.22907880685419463
1,2e-06,0.0,0.125
2,4e-06,0.17378831422341431,0.07728408066672116
3,6e-06,-0.18341598234936882,-0.21736381523012477
4,8e-06,0.1065385992978953,0.16492391127317665
5,9.999999999999999e-06,0.1863025436038429,-0.06573312373795503
6,1.2e-05,-0.03843140131826215,0.18084901717215285
7,1.4e-05,-0.029691302962806157,-0.32428388931033514
8,1.6e-05,0.15791199918807458,-0.163611069320919
9,1.8e-05,0.09754126073623884,0.08459708691207961
10,1.9999999999999998e-05,0.1499534910539871,-0.033810773347051466
11,2.2e-05,0.1687192217416852,-0.09613301825572926
12,2.4e-05,-0.0032390585951029144,-0.0794184574079374
13,2.6e-05,-0.09137123539097772,0.07385473412777208
14,2.8e-05,0.1287514353347311,0.015256021808941853
15,2.9999999999999997e-05,0.00237401470448282,0.09655556896606406
16,3.2e-05,-0.116408298564983,-0.045769349027476515
17,3.4e-05,0.03125,0.15625
18,3.6e-05,-0.17297622212911612,0.09896793598520265
19,3.7999999999999995e-05,-0.017076046779558707,0.10889715278160786
20,3.9999999999999996e-05,-0.059902546150198445,0.07086576954466671
21,4.2e-05,-0.11614330904272858,0.029660560303612846
22,4.4e-05,0.050101791204296496,0.0032309146538184175
23,4.6e-05,-0.034831670049073685,0.07480996305219012
24,4.8e-05,0.08308278529442084,0.19812224368589126
25,4.9999999999999996e-05,-0.009152913087920388,0.11048543456039805
26,5.2e-05,-0.05492404911427105,-0.056992073459015045
27,5.4e-05,0.09325414519024973,-0.23512753906001269
28,5.6e-05,-0.05065739330175775,0.05890573819122783
29,5.8e-05,-0.07445885726140905,-0.10992729756211428
30,5.9999999999999995e-05,0.1901828273261575,0.043219850427645284
31,6.2e-05,0.005046920923311042,0.26109262101805975
32,6.4e-05,0.032913857056985754,0.08886604991812996
33,6.599999999999999e-05,-0.1875,0.25
34,6.8e-05,0.06288141338708475,-0.2824542995387113
35,7e-05,0.05512861426623303,-0.05694588259292338
36,7.2e-05,-0.01277801540571722,-0.07210047883939444
37,7.4e-05,0.027085804044475553,0.039844776089636595
38,7.599999999999999e-05,0.14483892829296477,-0.06604113443595076
39,7.8e-05,0.04885148826757969,0.027526638099377637
40,7.999999999999999e-05,0.050782704169114554,0.11792827285929676
41,8.2e-05,-0.03504126073623884,0.04040291308792039
42,8.4e-05,0.04417844420125538,0.05337564945410766
43,8.599999999999999e-05,-0.12658765331373262,0.100628632606139
44,8.8e-05,-0.22156802187123165,0.051972267996774256
45,8.999999999999999e-05,-0.03362876460902229,0.16542196116886482
46,9.2e-05,-0.08502362774242066,-0.14130668085725645
47,9.4e-05,-0.09869877096362012,0.30669539510798477
48,9.6e-05,0.17188376347097692,0.00886235242174497
49,9.8e-05,0.15625,0.09375
50,9.999999999999999e-05,-0.19040222373924842,0.0019411180168313405
51,0.000102,-0.08318997573057928,-0.08458745495855971
52,0.000104,0.07040312712797656,0.036242820982779714
53,0.000106,0.15275496139441014,0.12122778734470559
54,0.000108,-0.010770483048955289,-0.16810677442879185
55,0.00010999999999999999,-0.10932851525569985,0.11839389756549357
56,0.000112,0.08493122960625551,-0.006700612094225206
57,0.00011399999999999999,-0.05334708691207961,-0.11048543456039805
58,0.000116,0.06072413682025723,0.06846505751855192
59,0.000118,0.3431676769750715,-0.019368075290397052
60,0.00011999999999999999,0.24442661360149923,-0.1581682670379302
61,0.000122,-0.05054114273859095,-0.004349397734522621
62,0.000124,0.047127225248125085,-0.2938779096371962
63,0.000126,-0.033722164664173736,-0.060790194498834785
64,0.000128,-0.038321344924208314,0.22907880685419463
65,0.00013,-0.048342953561433887,-0.23131731578127368
66,0.00013199999999999998,-0.09375,0.125
67,0.000134,-0.0937752643721359,-0.31146381778086185
68,0.000136,-0.0813854277718716,-0.04648439051011348
69,0.000138,-0.0552914196167495,0.12426986750700038
70,0.00014,0.09437317121458141,0.2111098135198301
71,0.00014199999999999998,0.0005707488049588455,-0.02433590554590628
72,0.000144,0.012760990752289258,0.14220798715749877
73,0.000146,0.056375234866574364,0.062284565740674216
74,0.000148,0.0015703916154427289,-0.08995873926376116
75,0.00015,0.001561328341475876,-0.01810793802184503
76,0.00015199999999999998,-0.08143854614728584,-0.2505713945241922
77,0.000154,0.18449100371517624,-0.201405121368245
78,0.000156,0.17424792517285276,0.31443990617221684
79,0.000158,-0.09385356890111682,-0.014774281539033401
80,0.00015999999999999999,0.08325269722471547,-0.3125530526841329
81,0.00016199999999999998,-0.1362303640920712,0.12802494462061065
82,0.000164,0.125,-0.09375
83,0.000166,-0.21607685388493747,-0.06650779806951777
84,0.000168,-0.09795179254565542,-0.06509876354853786
85,0.00016999999999999999,-0.017552961126070986,-0.1270349007879474
86,0.00017199999999999998,-0.1300537513486935,0.05078312052405917
87,0.000174,-0.08653345261826247,0.11380865867064434
88,0.000176,-0.04836043459461686,0.003938520287085703
89,0.000178,-0.08161919196073267,0.12385229856567187
90,0.00017999999999999998,0.009152913087920388,0.06092960838455727
91,0.00018199999999999998,-0.12225987608899827,-0.03042886473316106
92,0.000184,-0.04319847673575144,0.16466509580787264
93,0.000186,-0.005296997204913943,-0.14577329062834363
94,0.000188,-0.13856734503874063,-0.22616636777442395
95,0.00018999999999999998,-0.046429107318439175,0.04099144847393681
96,0.000192,-0.16705899084709197,0.10926155918732885
97,0.000194,-0.15010524741412096,0.03277070551222738
98,0.000196,-0.03125,-0.25
99,0.000198,-0.09603649293626748,-0.02150980257296345
100,0.00019999999999999998,-0.005032286750946489,-0.028055649150885098
101,0.000202,-0.02689262683511335,0.06456849420397913
102,0.000204,-0.1126789973904222,0.009861055600966007
103,0.000206,-0.19712740234285187,-0.024510343455641414
104,0.000208,-0.20157772570992472,-0.07045484358904441
105,0.00020999999999999998,0.11598831854128022,0.009640410054222084
106,0.000212,0.3109296083845573,-0.22254126073623884
107,0.000214,0.1630839332394652,0.05340506034431386
108,0.000216,-0.038803924634669584,-0.217704550774766
109,0.00021799999999999999,-0.017964555638754598,0.0915032065396233
110,0.00021999999999999998,0.020834596299624905,0.031530962948579266
